id,name,party,sector,country
lk,Lars Klingbeil,spd,Politik,Deutschland
ul,Ursula von der Leyen,cdu,Politik,Deutschland 
nr,Norbert Röttgen,cdu,Politik,Deutschland
sw,Sahra Wagenknecht,linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,,Amerika
cl,Christian Lindner,fdp,Politik,Deutschland
ks,Karl Schlögel,,Geschichte,Deutschland
lm,Ljudmyla Melnyk,,Politik,Ukraine
kd,Kristina Dunz,,Journalismus ,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,grünen,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrij Melnyk,,Politik,Deutschland
al,Alexander Graf Lambsdorff,fdp,Politik,Deutschland
er,Egon Ramms,,Politik,Deutschland
rh,Robert Habeck,grünen,Politik,Deutschland
cm,Claudia Major,,Politikwissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus ,Deutschland
rk,Roderich Kiesewetter,cdu,Politik,Deutschland
cl,Christine Lambrecht,spd,Politik,Deutschland
sb,Stefanie Babst ,,Politik,Deutschland
ch,Christoph Heusgen,,Politik,Deutschland
mw,Marina Weisband,,Politik,Deutschland
os,Olaf Scholz,spd,Politik,Deutschland
ms,Markus Söder,csu,Politik,Deutschland
vg,Veronika Grimm,,Wirtschaft,Deutschland
mb,Marieluise Beck,grünen,Politik,Deutschland
ra,Robin Alexander,,Journalismus ,Deutschland